ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,2928.87,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,3037.71,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,3268.88,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,
Austria,Average monthly earnings of employees by sex and economic activity,ADM - General Income Report,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,3187.14,,Currency: AUT - Euro (EUR) | Working time arrangement coverage: Full-time and part time workers,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,413.01,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,461.2,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,507.1,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,541.85,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,566.71,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,455.71,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,313.21,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,307.06,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,320.35,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,373.41,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year
Azerbaijan,Average monthly earnings of employees by sex and economic activity,ES - Labour-related Establishment Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,416.06,,Currency: AZE - Azerbaijani manat (AZN) | Working time arrangement coverage: Full-time and part time workers,Data reference period: End of the year
Burundi,Average monthly earnings of employees by sex and economic activity,HIES - Enquête sur les Conditions de Vie des Ménages,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,226.51,,Currency: BDI - Burundian franc (BIF),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Belgium,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,5325.06,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belgium,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,5463.7,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belgium,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,5564.38,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belgium,Average monthly earnings of employees by sex and economic activity,HIES - EU Statistics on Income and Living Conditions,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,5799.61,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,4019.97,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,3952.48,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,3929.71,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,3419.52,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
Belgium,Average monthly earnings of employees by sex and economic activity,ES - Structure of Earnings Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,3421.44,,Currency: BEL - Euro (EUR) | Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: October | Economic activity coverage: Excluding agriculture and non-market services | Establishment size coverage: All establishments with at least 10 employees
